Temperature (Celsius),Year,Month, Country, ISO3
28.4,1990, Jan , Australia, AUS
26.7,1990, Feb , Australia, AUS
26.4,1990, Mar , Australia, AUS
21.9,1990, Apr , Australia, AUS
18.6,1990, May , Australia, AUS
14.4,1990, Jun , Australia, AUS
14.6,1990, Jul , Australia, AUS
15.4,1990, Aug , Australia, AUS
19,1990, Sep , Australia, AUS
22.9,1990, Oct , Australia, AUS
26.7,1990, Nov , Australia, AUS
28.1,1990, Dec , Australia, AUS
28.2,1991, Jan , Australia, AUS
27.9,1991, Feb , Australia, AUS
25.7,1991, Mar , Australia, AUS
22.2,1991, Apr , Australia, AUS
18.4,1991, May , Australia, AUS
16.6,1991, Jun , Australia, AUS
14.5,1991, Jul , Australia, AUS
16.1,1991, Aug , Australia, AUS
19.5,1991, Sep , Australia, AUS
24.1,1991, Oct , Australia, AUS
25.3,1991, Nov , Australia, AUS
26.8,1991, Dec , Australia, AUS
27.5,1992, Jan , Australia, AUS
27.4,1992, Feb , Australia, AUS
26.4,1992, Mar , Australia, AUS
22.7,1992, Apr , Australia, AUS
18.3,1992, May , Australia, AUS
15.1,1992, Jun , Australia, AUS
14.7,1992, Jul , Australia, AUS
15.9,1992, Aug , Australia, AUS
18.6,1992, Sep , Australia, AUS
21.9,1992, Oct , Australia, AUS
23.8,1992, Nov , Australia, AUS
26.3,1992, Dec , Australia, AUS
28.3,1993, Jan , Australia, AUS
26.9,1993, Feb , Australia, AUS
25.5,1993, Mar , Australia, AUS
23.1,1993, Apr , Australia, AUS
18.6,1993, May , Australia, AUS
14.8,1993, Jun , Australia, AUS
15,1993, Jul , Australia, AUS
16.4,1993, Aug , Australia, AUS
19,1993, Sep , Australia, AUS
21.8,1993, Oct , Australia, AUS
25.6,1993, Nov , Australia, AUS
26.4,1993, Dec , Australia, AUS
28.5,1994, Jan , Australia, AUS
27,1994, Feb , Australia, AUS
24.7,1994, Mar , Australia, AUS
21.9,1994, Apr , Australia, AUS
18.3,1994, May , Australia, AUS
15,1994, Jun , Australia, AUS
14.5,1994, Jul , Australia, AUS
15.4,1994, Aug , Australia, AUS
19.2,1994, Sep , Australia, AUS
23,1994, Oct , Australia, AUS
25.4,1994, Nov , Australia, AUS
27.9,1994, Dec , Australia, AUS
28,1995, Jan , Australia, AUS
26.6,1995, Feb , Australia, AUS
24.8,1995, Mar , Australia, AUS
21.1,1995, Apr , Australia, AUS
17.5,1995, May , Australia, AUS
15.2,1995, Jun , Australia, AUS
14.4,1995, Jul , Australia, AUS
16.9,1995, Aug , Australia, AUS
20,1995, Sep , Australia, AUS
22.4,1995, Oct , Australia, AUS
25.5,1995, Nov , Australia, AUS
26.4,1995, Dec , Australia, AUS
27.8,1996, Jan , Australia, AUS
27.4,1996, Feb , Australia, AUS
25.4,1996, Mar , Australia, AUS
21.6,1996, Apr , Australia, AUS
18.3,1996, May , Australia, AUS
16.8,1996, Jun , Australia, AUS
14.8,1996, Jul , Australia, AUS
16.3,1996, Aug , Australia, AUS
19.5,1996, Sep , Australia, AUS
22.9,1996, Oct , Australia, AUS
25.1,1996, Nov , Australia, AUS
26.8,1996, Dec , Australia, AUS
27.3,1997, Jan , Australia, AUS
27.9,1997, Feb , Australia, AUS
24.6,1997, Mar , Australia, AUS
21.9,1997, Apr , Australia, AUS
17.7,1997, May , Australia, AUS
14.8,1997, Jun , Australia, AUS
13.4,1997, Jul , Australia, AUS
15.6,1997, Aug , Australia, AUS
19.9,1997, Sep , Australia, AUS
23,1997, Oct , Australia, AUS
25.7,1997, Nov , Australia, AUS
27.8,1997, Dec , Australia, AUS
28.5,1998, Jan , Australia, AUS
28.3,1998, Feb , Australia, AUS
26.5,1998, Mar , Australia, AUS
22.2,1998, Apr , Australia, AUS
19.1,1998, May , Australia, AUS
15.3,1998, Jun , Australia, AUS
14.2,1998, Jul , Australia, AUS
17.2,1998, Aug , Australia, AUS
20.1,1998, Sep , Australia, AUS
23,1998, Oct , Australia, AUS
25.1,1998, Nov , Australia, AUS
27,1998, Dec , Australia, AUS
28.9,1999, Jan , Australia, AUS
27.1,1999, Feb , Australia, AUS
25.7,1999, Mar , Australia, AUS
20.9,1999, Apr , Australia, AUS
18.8,1999, May , Australia, AUS
15.2,1999, Jun , Australia, AUS
14.7,1999, Jul , Australia, AUS
16.5,1999, Aug , Australia, AUS
20.2,1999, Sep , Australia, AUS
23,1999, Oct , Australia, AUS
23.6,1999, Nov , Australia, AUS
25.8,1999, Dec , Australia, AUS
